timestamp,count,uniques
2025-09-23T00:00:00Z,3,3
2025-09-24T00:00:00Z,35,8
2025-09-25T00:00:00Z,18,6
2025-09-26T00:00:00Z,142,15
2025-09-27T00:00:00Z,1,1
2025-09-28T00:00:00Z,3,1
2025-09-29T00:00:00Z,43,5
2025-09-30T00:00:00Z,45,4
2025-10-01T00:00:00Z,18,3
2025-10-02T00:00:00Z,3,3
2025-10-03T00:00:00Z,52,6
2025-10-06T00:00:00Z,33,9
2025-10-07T00:00:00Z,87,7
2025-10-08T00:00:00Z,74,4
2025-10-09T00:00:00Z,103,2
2025-10-10T00:00:00Z,4,2
2025-10-12T00:00:00Z,3,1
2025-10-13T00:00:00Z,5,3
2025-10-14T00:00:00Z,3,2
2025-10-15T00:00:00Z,5,2
2025-10-16T00:00:00Z,81,9
2025-10-17T00:00:00Z,31,7
2025-10-19T00:00:00Z,68,3
2025-10-20T00:00:00Z,54,8
2025-10-21T00:00:00Z,58,14
2025-10-22T00:00:00Z,9,4
2025-10-23T00:00:00Z,13,6
2025-10-24T00:00:00Z,4,1
